review,sentiment
"Awwww....yes, it is heartwarming and all that some unlucky family gets adopted by ABC/Sears and has their home ""renovated."" That's where the humanistic appeal ends. I liked it early in its run, but now this show has become disgustingly excessive.<br /><br />Ten needy families could be given relatively luxurious homes with lots of goodies for every one family that each episode of this show splurges on. The people at Habitat For Humanity must be shaking their heads in disbelief. For example, is it necessary for a healthy sixteen year old boy to have a jacuzzi in his bedroom, or have his bed tricked-out with ""Low Rider"" hydraulics? Does the mom really need her dilapidated, non-running and rusted out old pick-up truck restored and ""pimped"" by some of the best customizers in California? A new one would have done the job quite nicely, and probably for a third of the price. Do people really need a sixty-five inch plasma screen in every room of the house? And then there's the issue of who pays the increased property taxes and utility bills. Even after the zaniacs at ""Makeover"" leave, somebody still has earn a living. I doubt the friendly folks down at Social Services will see the humor in all of this largess.<br /><br />This show is nothing more than a ratings grabber for ABC, and a tacit commercial for its sponsors.",negative
"I am a Shakespeare fan, and I can appreciate what Ken Branagh has done to bring Shakespeare back for a new generation of viewers. However, this movie falls short of conveying the overall intentions of the play with the ridiculous musical sequences. Add that with Alicia Silverstone's stumbling over the dialogue (reminiscent of Keanu Reeves in Much Ado About Nothing) and other poorly cast roles, it all equals an excruciating endurance of viewing.",negative
"I don't go for that many ""heist"" comedies, and I might not care for this one if it weren't for the actors, when it was made, and when I FIRST SAW it (just a few years later). It's almost too similar to ""The Happening"" (even though it's obviously a much less serious comedy than that one) - Mafia figure takes over his own kidnapping, or rather, turns it in a different direction altogether. Of course, Raquel Welch didn't play the kind of sharp character Faye Dunaway did in The Happening, but that doesn't make it a sexist film either - she was practically playing a stock character, almost HER version of a ""moll""! But, I'm completely biased - it's among the first films I ever saw with her, and at the time I saw it, you couldn't turn around without seeing a poster of her (luckily). I think Robert Wagner was really just right as the neither thoroughly likable nor dis-likable leader of the group, as were Edward G. Robinson (naturally) and Vittoria De Sica. And Godfrey Cambridge, an actor who always managed to be funny.",positive
"I hired the DVD yesterday and first of all it started bad, it's 4:3 aspect ratio film, and it just keeps getting worse, the acting is so bad and the movie itself is way to predictable, I was like watching the movie and said to myself: this going to happen next and guess what happened? right...<br /><br />if you want to see a good action boxing movie, don't watch this one you'll end disappointed on this low-budget movie like I did. go and see Ali its way better!",negative
"It is a tricky thing to play a queen. On the one hand, the actress has to be majestic and imperious, and on the other, she has to show vulnerability in a tough situation as well as the gathering of the courage and resolution to overcome the odds, since almost all movies about queens have that basic plot line. <br /><br />Emily Blunt is quite radiant as Victoria, but it's not as full a performance as I'd like, no blame to her. I can't help but feel like this is a Mills & Boon novel adaptation compared to a darker, more dramatic movie about another young queen, Elizabeth. Hence Blunt doesn't get to run the gamut of queenly emotions, at least not to the full extent, since she's, y'know, the young Victoria. To see the old Victoria, check out Mrs Brown.<br /><br />Jean-Marc Vallee is an interesting choice of director for the movie. He last did C.R.A.Z.Y., which was excellent and propelled him to fame. It was quite a different movie but I remember it looking gorgeous and that's probably the main similarity between the two movies. But while Vallee wrote C.R.A.Z.Y., this one was by Julian Fellowes, and though I really enjoyed his Gosford Park, the story for this movie was much less interesting. I soon got lost with all the governmental politics. Maybe it was less engaging because there was no potential beheading of the monarchy. I'm just saying.",positive
"Quentin Tarantino's partner in crime Roger Avary (co-writer on ""Pulp Fiction"") ventures out on his own (Q.T. goes exec. prod. this time) for this over-boiled French thriller.<br /><br />Eric Stoltz is Zed, safe cracker extraordinaire who has drifted over to France from the U.S. at the request of an old friend. There he teams up with a motley crew of drugged out hippies who, with little or no planning, think they can knock off a bank vault full of gold bullion on a French national holiday.<br /><br />Avary has reworked the robbery gone wrong theme that Tarantino developed so well in ""Reservoir Dogs"", only ""Killing Zoe"" is not good enough to survive on the strength of this alone, so Avary has thrown in a rather beautiful distraction. Julie Delpy is Zoe, a student come call girl who entertains Zed on his arrival in Paris. A stunning distraction she certainly is, but nothing more.<br /><br />I guess our director wanted to add a different angle to this basic theme, but sadly the move did not help to add the depth his shallow plot so desperately needed. There was never a story in this idea, which was nothing more than that, an idea. Even the surreal journey into the seedy dives of Paris is uninspiring. I figure one would have to concede that there was never much of a movie in the story of a bunch of gangsters shooting each other up over a botched jewellery heist either, that is until you add intricate characters and snappy dialogue. ""Reservoir Dogs"" had it, ""Killing Zoe"" did not.<br /><br />Stoltz's strong interpretation of the doubtful Zed and Jean Hughes-Anglade's mad portrayal of the obsessive ring leader do nothing to lift proceedings. In short, Avary has unsuccessfully attempted to conjure entertainment out of nothing.<br /><br />Friday, September 15, 1995 - Astor Theatre",negative
"The name (Frau) of the main character is the German word for ""Woman"". I don't know if that was intentional or not, but if sure got some giggles from the German audience at the Fantasy Film Festival last year, when it was shown.<br /><br />But those were the only giggles the movie got. Not that it was aiming for giggles, it's a horrible movie for heaven's sake! A horrible movie in more than one meaning. It's a shame that a premise like that was wasted with horrible even unbearable moments for the viewer (definetely not for the faint of Heart!!)! And it wasn't even necessary to show all the things that are shown. I'm not even going into a moral obligation (because movies don't really have that kind of task or function) discussion of what is shown here, but this is a new low on the whole ""torture movement"" that has grown in the last few years!",negative
"I think Charlotte Gainsbourg is one of the best performers in the world. I can't understand why some people say she's not. Boring....??? Maybe the one who said she's boring is because he/she is boring. She's a great actress and the movie was excellent. It has lots of wonderful ideas and very good performers. The direction was great. I imaging myself in the French environment with all the sophistication and perfume, flowers, churches, problems, etc. When she goes to the sister's shop is simply amazing. Everything's great. We have a very good actress, wonderful, for long time. Alain Chabat and Bernadette Lafont are perfect. I like him more than in his next movie LA SCIENCE DES RÊVES. And Eric Lartigau did a very good work.<br /><br />Ana",positive
"If you are in to bad movies for the entertainment of witnessing bad movies, bad acting, bad production etc..aka Mystery Science Theater 3000 quality....you will love Pacific Inferno. Jim Brown will be forever remembered as one of the greatest football players to ever play the game...as an actor he will forever be remembered as one of the greatest football players to ever play the game... I am not sure who Rolf Bayer was...but I am hoping he was 15 or 16 years old when he directed this, perhaps he may have been the next Spielberg in the making...because if he was a grown man directing this...a 15 or 16 year old could have done better.... The basis or plot for the movie probably had some historical merit and maybe even truthfully accurate...but the actual film may be one of worst movies made in American film history...I kept waiting for Lee Marvin, William Holden or Charles Bronson to pop in to somehow save whatever ""face"" was left of this film. I would have loved to have been at the red carpet, black tie gala for the Hollywood opening when this movie previewed...as this movie had to have many a viewer laughing and cringing under their breath... it is on the dime DVD racks now....look for it for entertainment value...this movie is so bad it is too good to pass up...",negative
"Nominated for the oscar ""worst script ever"" in my opinion. There's no decent story, rediculous acting, VERY lousy humor. By every means possible, if you have little self respect please don't waste your time seeing this movie. Although u can see the actors CAN act, it leaves you dumber after watching it. Precious braincells are being killed watching this crap...<br /><br />i warned u<br /><br />DON'T SEE THIS MOVIE",negative
